"item-img href","checkedimg2 src","btn","item-brand href","item-brand src","item-rating href","item-rating-num","item-title","item-promo","item-features","item-features 2","item-features 3","item-features 4","item-features 5","item-features 6","item-features 7","item-features 8","item-features 9","item-features 10","price-was-data","price-current 2","price-current 3","price-save-label","price-save-dollar","price-save-percent","price-ship","btn 2","form-checkbox-title","product-price-ship-eligible","product-delivery-title","message-information"
"https://www.newegg.com/p/N82E16883360554","https://c1.neweggimages.com/productimage/nb300/83-360-554-01.jpg","Quick View","https://www.newegg.com/ABS/BrandStore/ID-8484","https://c1.neweggimages.com/brandimage/Brand8484.gif","https://www.newegg.com/p/N82E16883360554#IsFeedbackTab","(108)","ABS Cyclone Aqua Gaming PC – Windows 11 - Intel i7 14700F – GeForce RTX 4060 TI 8G – DLSS 3.5 - AI-Powered Performance - 32GB DDR5 6000MHz - 1TB M.2 NVMe SSD – CA14700F4060TI2","Get Intel Holiday Bundle w/ purchase, limited offer","ABS 650W 80+ Gold ATX PSU","Power Supply:","16.34"" x 7.87"" x 12.62""","Dimensions (H x W x D):","MSI GeForce RTX 4060 Ti 8G Ventus 2X with support for DLSS 3.5 - AI-Powered Performance","Graphics:","Gaming & Entertainment","Type:","CA14700F4060TI2","Model #:","$1,699.99","1,149",".99","Save:","$550.00","(32%)","","Add to cart","Compare","Free Shipping","from United States",""
"https://www.newegg.com/p/N82E16883630062","https://c1.neweggimages.com/productimage/nb300/83-630-062-02.jpg","Quick View","https://www.newegg.com/YEYIAN/BrandStore/ID-207638","https://c1.neweggimages.com/brandimage/Brand207638.gif","https://www.newegg.com/p/N82E16883630062#IsFeedbackTab","(102)","Yeyian Tanto Gaming Desktop PC, Intel Core i5-14400F, Nvidia RTX 4070 - AI Integrated, 32GB DDR5 6000MHz RGB, 1TB SSD NVMe Gen 4.0, Windows 11 Home, YPI-TA44F0C-4701N","Get Intel Holiday Bundle w/ purchase, limited offer","GeForce RTX 4070","GPU/VGA Type:","Intel Core i5-14400F","CPU Name:","32GB DDR5","Memory Capacity:","Windows 11 Home 64-bit","Operating System:","YPI-TA44F0C-4701N","Model #:","$1,499.99","1,149",".99","Save:","$350.00","(23%)","","Add to cart","Compare","Free Shipping","from United States",""
"https://www.newegg.com/yeyian-ypi-ta34f0b-47s1n-tanto/p/N82E16883630048","https://c1.neweggimages.com/productimage/nb300/83-630-048-10.jpg","Quick View","https://www.newegg.com/YEYIAN/BrandStore/ID-207638","https://c1.neweggimages.com/brandimage/Brand207638.gif","https://www.newegg.com/yeyian-ypi-ta34f0b-47s1n-tanto/p/N82E16883630048#IsFeedbackTab","(102)","Yeyian Tanto Gaming Desktop, Intel Core i5-13400F, 16GB DDR5, 1TB PCIe SSD, GeForce RTX 4070 SUPER, Windows 11 Home 64-bit, YPI-TA34F0B-47S1N","Get Intel Holiday Bundle w/ purchase, limited offer","YEYIAN 650W 80+ Gold","Power Supply:","Wi-Fi 6","WiFi Generation:","GeForce RTX 4070 Super OC (ASUS)","Graphics:","Gaming & Entertainment","Type:","YPI-TA34F0B-47S1N","Model #:","$1,599.99","1,199",".99","Save:","$400.00","(25%)","","Add to cart","Compare","Free Shipping","from United States",""
"https://www.newegg.com/yeyian-ypi-ta34f0b-4701u-tanto/p/N82E16883630033","https://c1.neweggimages.com/productimage/nb300/83-630-033-30.jpg","Quick View","https://www.newegg.com/YEYIAN/BrandStore/ID-207638","https://c1.neweggimages.com/brandimage/Brand207638.gif","https://www.newegg.com/yeyian-ypi-ta34f0b-4701u-tanto/p/N82E16883630033#IsFeedbackTab","(102)","Yeyian Tanto Gaming Desktop - AI Integrated Intel Core i5 13th Gen 13400F, NVIDIA GeForce RTX 4070,16GB DDR5 1 TB PCIe SSD Windows 11 Home 64-bit - YPI-TA34F0B-4701U","Get Intel Holiday Bundle w/ purchase, limited offer","650W 80+ Gold","Power Supply:","Wi-Fi 6","WiFi Generation:","NVIDIA GeForce RTX 4070 12 GB GDDR6","Graphics:","Gaming & Entertainment","Type:","YPI-TA34F0B-4701U","Model #:","$1,599.00","1,079",".99","Save:","$519.01","(32%)","","Add to cart","Compare","Free Shipping","from United States",""
"https://www.newegg.com/yeyian-ypi-ta34f0b-4601n/p/N82E16883630042","https://c1.neweggimages.com/productimage/nb300/83-630-042-04.jpg","Quick View","https://www.newegg.com/YEYIAN/BrandStore/ID-207638","https://c1.neweggimages.com/brandimage/Brand207638.gif","https://www.newegg.com/yeyian-ypi-ta34f0b-4601n/p/N82E16883630042#IsFeedbackTab","(102)","Yeyian Tanto Gaming PC Desktop, Intel Core i5-13400F, Nvidia RTX 4060, 16GB DDR5 5600MHz, 1TB NVMe SSD, 650W Gold PSU, AC Wi-Fi, Windows 11 64-bit, YPI-TA34F0B-4601N","","GeForce RTX 4060","GPU/VGA Type:","Intel Core i5-13400F","CPU Name:","16GB DDR5","Memory Capacity:","Windows 11 Home 64-bit","Operating System:","YPI-TA34F0B-4601N","Model #:","$1,099.00","749",".99","Save:","$349.01","(31%)","Free Shipping","Back order","Compare","","","This product is temporarily out of stock because of high demand, we will replenish it as soon as possible."
"https://www.newegg.com/yeyian-ypa-ta750fb-4601u-yumi/p/N82E16883630034","https://c1.neweggimages.com/productimage/nb300/83-630-034-11.jpg","Quick View","https://www.newegg.com/YEYIAN/BrandStore/ID-207638","https://c1.neweggimages.com/brandimage/Brand207638.gif","https://www.newegg.com/yeyian-ypa-ta750fb-4601u-yumi/p/N82E16883630034#IsFeedbackTab","(102)","Yeyian Tanto Gaming Desktop, AMD Ryzen 5 7500F, 16GB DDR5, 1TB PCIe SSD, GeForce RTX 4060, Windows 11 Home 64-bit, YPA-TA750FB-4601U","","GeForce RTX 4060","GPU/VGA Type:","AMD Ryzen 5 7500F","CPU Name:","16GB DDR5","Memory Capacity:","Windows 11 Home 64-bit","Operating System:","YPA-TA750FB-4601U","Model #:","$1,099.00","849",".00","Save:","$250.00","(22%)","Free Shipping","Back order","Compare","","",""
"https://www.newegg.com/yeyian-ypi-ta44f0c-46t1n-tanto/p/N82E16883630058","https://c1.neweggimages.com/productimage/nb300/83-630-058-01.jpg","Quick View","https://www.newegg.com/YEYIAN/BrandStore/ID-207638","https://c1.neweggimages.com/brandimage/Brand207638.gif","https://www.newegg.com/yeyian-ypi-ta44f0c-46t1n-tanto/p/N82E16883630058#IsFeedbackTab","(102)","Yeyian Tanto Gaming PC Desktop, Intel Core i5-14400F - AI Accelerated, NVIDIA RTX 4060 Ti, 32GB DDR5 6000MHz RGB, 1TB SSD, 650W Wi-Fi, Windows 11 64-bit, YPI-TA44F0C-46T1N","Get Intel Holiday Bundle w/ purchase, limited offer","GeForce RTX 4060 Ti","GPU/VGA Type:","Intel Core i5-14400F","CPU Name:","32GB DDR5","Memory Capacity:","Windows 11 Home 64-bit","Operating System:","YPI-TA44F0C-46T1N","Model #:","$1,399.99","969",".99","Save:","$430.00","(30%)","","Add to cart","Compare","Free Shipping","from United States",""
"https://www.newegg.com/p/N82E16883630065","https://c1.neweggimages.com/productimage/nb300/83-630-065-03.jpg","Quick View","https://www.newegg.com/YEYIAN/BrandStore/ID-207638","https://c1.neweggimages.com/brandimage/Brand207638.gif","https://www.newegg.com/p/N82E16883630065#IsFeedbackTab","(102)","Yeyian Tanto Gaming Desktop PC, Intel Core i7 14700F, Nvidia RTX 4070 SUPER, 32GB DDR5 6000MHz RGB, 1TB Gen 4.0 SSD, Windows 11 Home 64-bit, YPI-TA47F0C-47S1N","","YEYIAN 650W 80+ Gold","Power Supply:","Wi-Fi 6","WiFi Generation:","GeForce RTX 4070 Super 12G Ventus 2X OC (MSI)","Graphics:","Gaming & Entertainment","Type:","YPI-TA47F0C-47S1N","Model #:","$1,599.99","1,349",".99","Save:","$250.00","(15%)","Free Shipping","Back order","Compare","","","This product is temporarily out of stock because of high demand, we will replenish it as soon as possible."
"https://www.newegg.com/acer-po3-640g-ur11-predator/p/N82E16883101889","https://c1.neweggimages.com/productimage/nb300/83-101-889-08.jpg","Quick View","https://www.newegg.com/Acer-America/BrandStore/ID-1146","https://c1.neweggimages.com/brandimage/Brand1146.gif","https://www.newegg.com/acer-po3-640g-ur11-predator/p/N82E16883101889#IsFeedbackTab","(93)","Acer Gaming Desktop Predator Orion 3000 PO3-640G-UR11 Intel Core i7-12700F 16GB DDR4 1TB HDD 512 GB PCIe SSD GeForce RTX 3060 Windows 11 Home 64-bit","","GeForce RTX 3060","GPU/VGA Type:","Intel Core i7-12700F","CPU Name:","16GB DDR4","Memory Capacity:","1TB","HDD:","DG.E36AA.002","Model #:","","1,882",".00","","","","","Add to cart","Compare","Free Shipping","from United States",""
"https://www.newegg.com/p/N82E16883151551","https://c1.neweggimages.com/productimage/nb300/83-151-551-01.jpg","Quick View","https://www.newegg.com/MSI/BrandStore/ID-1312","https://c1.neweggimages.com/brandimage/Brand1312.gif","https://www.newegg.com/p/N82E16883151551#IsFeedbackTab","(90)","MSI Codex R2 Gaming Desktop, Intel Core i7-14700F, GeForce RTX 4070, 32GB DDR5, 1TB M.2 NVMe SSD, Windows 11 Home, Advance, Codex R2C C14NUE7-289US","Get Intel Holiday Bundle w/ purchase, limited offer","650W 80+ Gold","Power Supply:","2.5Gbps","LAN Speed:","Wi-Fi 7","WiFi Generation:","16.1"" x 8.4"" x 19.1""","Dimensions (H x W x D):","Codex R2C C14NUE7-289US","Model #:","$1,599.00","1,349",".00","Save:","$250.00","(15%)","","Add to cart","Compare","Free Shipping","from United States",""
"https://www.newegg.com/p/N82E16883151547","https://c1.neweggimages.com/productimage/nb300/83-151-546-07.jpg","Quick View","https://www.newegg.com/MSI/BrandStore/ID-1312","https://c1.neweggimages.com/brandimage/Brand1312.gif","https://www.newegg.com/p/N82E16883151547#IsFeedbackTab","(90)","MSI Codex R2C Gaming Desktop, Intel Core i7-14700F, GeForce RTX 4060, 32GB Memory (16GB x 2), 2TB M.2 NVMe, USB Type-C, VR-Ready, Windows 11 Home Advanced","","650W 80+ Gold","Power Supply:","2.5Gbps","LAN Speed:","Wi-Fi 6E","WiFi Generation:","16.1"" x 8.4"" x 19.1""","Dimensions (H x W x D):","Codex R2C B14NUC7-284US","Model #:","$1,299.00","1,149",".00","Save:","$150.00","(11%)","","Add to cart","Compare","Free Shipping","from United States",""
"https://www.newegg.com/p/N82E16883151514","https://c1.neweggimages.com/productimage/nb300/83-151-511-08.jpg","Quick View","https://www.newegg.com/MSI/BrandStore/ID-1312","https://c1.neweggimages.com/brandimage/Brand1312.gif","https://www.newegg.com/p/N82E16883151514#IsFeedbackTab","(90)","MSI Codex Z2 Gaming PC, AMD Ryzen 7 8700F, GeForce RTX 4060, 16GB DDR5, 1 TB SSD, Windows 11 Home, Codex Z2 A8NUC-273US","","650W 80+ Gold","Power Supply:","2.5Gbps","LAN Speed:","Wi-Fi 6E","WiFi Generation:","8.4"" x 16.1"" x 19.1""","Dimensions (H x W x D):","Codex Z2 A8NUC-273US","Model #:","$1,149.00","949",".00","Save:","$200.00","(17%)","$16.21 Shipping","Back order","Compare","","","This product is temporarily out of stock because of high demand, we will replenish it as soon as possible."
"https://www.newegg.com/p/N82E16883151545","https://c1.neweggimages.com/productimage/nb300/83-151-551-01.jpg","Quick View","https://www.newegg.com/MSI/BrandStore/ID-1312","https://c1.neweggimages.com/brandimage/Brand1312.gif","https://www.newegg.com/p/N82E16883151545#IsFeedbackTab","(90)","MSI Codex R2 Gaming Desktop, i5-13400F, GeForce RTX 4060, 16GB Memory (8GB x 2), 1TB SSD, USB Type-C, VR-Ready, Windows 11 Home","","650W 80+ Gold","Power Supply:","10/100/1000Mbps","LAN Speed:","Wi-Fi 6E","WiFi Generation:","16"" x 8.38"" x 19""","Dimensions (H x W x D):","Codex R2C C13NUC5-287US","Model #:","$899.00","779",".00","Save:","$120.00","(13%)","","Add to cart","Compare","Free Shipping","from United States",""
