image,link,title,podcaster
https://i.scdn.co/image/ab67656300005f1ffa728758d397c8a7865d6697,https://open.spotify.com/show/7DnXA6dOTRhEVcHLne7KFs,Le Daily Buffer Podcast - The Final Chapter,Yan Thériault
https://i.scdn.co/image/ab67656300005f1f675ca8052fef7ebd29e950ef,https://open.spotify.com/show/47jQcyRcrM1EoV0sU39N9F,Decoder with Nilay Patel,The Verge
https://i.scdn.co/image/ab67656300005f1f0101546a15f4ab3ca4b46eaf,https://open.spotify.com/show/3dVqgYXN29DwwnqdY3YsCk,BG2Pod with Brad Gerstner and Bill Gurley,BG2Pod
https://i.scdn.co/image/ab67656300005f1fb60694e3e7cead57ea413820,https://open.spotify.com/show/7gGRqpguzCKFJbqa3B6FCT,The Rick Shiels Golf Show,"Rick Shiels, Guy Charnock"
https://i.scdn.co/image/ab67656300005f1fb8d998a58b08ab9eca2c1b11,https://open.spotify.com/show/7gozmLqbcbr6PScMjc0Zl4,Reply All,Gimlet
https://i.scdn.co/image/ab67656300005f1f39f53205e4fbab4d411a73a8,https://open.spotify.com/show/6oApMJxXM8nni0hYAqgDRr,Endless Thread,WBUR
https://i.scdn.co/image/ab67656300005f1f1af1248bf502f9d78228e96e,https://open.spotify.com/show/0e9lFr3AdJByoBpM6tAbxD,Deep Questions with Cal Newport,Cal Newport
https://i.scdn.co/image/ab67656300005f1f41c6de5510b505b43903eeb3,https://open.spotify.com/show/2vHG9HylCEDeERyjsLhrb1,Moteur de recherche,Radio-Canada
https://i.scdn.co/image/ab67656300005f1f70a26729b14015676720aee0,https://open.spotify.com/show/2aoNkInl8NmE2X2xT1DOQQ,The Next Big Idea,Next Big Idea Club
https://i.scdn.co/image/ab67656300005f1f00a2a2125d2f5e266fa83ca3,https://open.spotify.com/show/3i8EH1J4TUS85GNUQDQeTV,The Best Idea Yet,Wondery
https://i.scdn.co/image/ab67656300005f1fa15ff94d2a3f15f17c7c6949,https://open.spotify.com/show/5L84QuZlUsILySyMZNM07W,Bloomberg Technology,Bloomberg
https://i.scdn.co/image/ab67656300005f1f78f87512eb77833447a5c335,https://open.spotify.com/show/5bC65RDvs3oxnLyqqvkUYX,a16z Podcast,Andreessen Horowitz
https://i.scdn.co/image/ab67656300005f1f2acd097a1c8a1b89435f25da,https://open.spotify.com/show/5iganPXXEoTDB9lIQzY7Fh,Power User with Taylor Lorenz,Taylor Lorenz
https://i.scdn.co/image/ab67656300005f1f36cf376c2898b4c2718cf9d8,https://open.spotify.com/show/2r75HRXpsJraJ3Akyo8kSg,In Good Company with Nicolai Tangen,Norges Bank Investment Management
https://i.scdn.co/image/ab67656300005f1f7a7091c6e9230538733e4765,https://open.spotify.com/show/3j2KMcZTtgTNBKwtZBMHvl,The Twenty Minute VC (20VC): Venture Capital | Startup Funding | The Pitch,Harry Stebbings | Entrepreneur | Investor | Blogger
https://i.scdn.co/image/ab67656300005f1f6d1d79fa0b316fc51e27ccc3,https://open.spotify.com/show/3LGyb7VLIhcCP27ajT0JKQ,Bloomberg Businessweek,Bloomberg
https://i.scdn.co/image/ab67656300005f1f115001eecaf018b7d5aeae8f,https://open.spotify.com/show/6tNVmal6Lme3VuqGkJh6z5,Demoted,Demoted Productions
https://i.scdn.co/image/ab67656300005f1f7b7af85aa4ab582b7b54eb6b,https://open.spotify.com/show/4qxa4FmRtdZTkmhjCzCDv0,Patterns Tell Stories | UFOs & High Strangeness,KLAɄЅ & GΔRRΞTT
https://i.scdn.co/image/ab67656300005f1f3e6ec87c32108caecbcea14d,https://open.spotify.com/show/4YWyPCna1Sg50fmRJGF0LV,Forward Guidance,Blockworks
https://i.scdn.co/image/ab67656300005f1fb527f9d43ec5388c074e90a2,https://open.spotify.com/show/21zZfOy7VCSIIWlJ64DElv,Hacked,Hacked
https://i.scdn.co/image/ab67656300005f1f483c43910a734cc8d07efcdb,https://open.spotify.com/show/0mWUJuONiilW5JSBBFZ0s7,Mr Obnoxious,Peter McCormack
https://i.scdn.co/image/ab67656300005f1f8afc514b922ac0e046c14d78,https://open.spotify.com/show/2IuwsYuXKRL53Ygv0gzwWa,Nintendo Voice Chat,IGN
https://i.scdn.co/image/ab67656300005f1fb19d0c26e238ca91046c621c,https://open.spotify.com/show/444jaJyGleW8I2wPhLLnvV,Cult Liter with Spencer Henry,Spencer Henry | Morbid Network | Wondery
https://i.scdn.co/image/ab67656300005f1fe27bebd29e86799ce6dc203a,https://open.spotify.com/show/0F3oY47l2XgoBMaAmIaw29,The 404 Media Podcast,404 Media
https://i.scdn.co/image/ab67656300005f1f93150c7eebf1335b701079ba,https://open.spotify.com/show/4Lw4qmTGLzoTnM0Vris3fO,Cortex,Relay FM
https://i.scdn.co/image/ab67656300005f1f2fe3fd3716b42a4a5ff8223c,https://open.spotify.com/show/7rpwrJpxFOx9cRdw4PCNnl,Undertale And Deltarune Stuff,Old Man Consequences
https://i.scdn.co/image/ab67656300005f1fbf308b17a10909bc0722c4ea,https://open.spotify.com/show/23W0WKz1x1dbKXE0gfU8RM,Austin Evans,Austin Evans
https://i.scdn.co/image/ab67656300005f1f93a58d36c240dd03f5907132,https://open.spotify.com/show/4C5Qx3wJn0GeTnDxIVYcAR,Catalyst with Shayle Kann,Latitude Media
https://i.scdn.co/image/ab67656300005f1fe100d92124a6de0050ba320a,https://open.spotify.com/show/5as3aKmN2k11yfDDDSrvaZ,Giant Bombcast,Giant Bomb
https://i.scdn.co/image/ab67656300005f1fb6281a2346b511373129dedd,https://open.spotify.com/show/1mb83zai28UA1nSd4XDqfU,Jeffy - Lucid Dreams (A.I. cover),Jffy WRLD
https://i.scdn.co/image/ab67656300005f1f64a5c0d91032322a7a94764c,https://open.spotify.com/show/1sz1NhoHqbpXbzNlpOnFoz,Underscore_,Micode
https://i.scdn.co/image/ab67656300005f1fe203c06316f56a476ddbb2ef,https://open.spotify.com/show/0Vd8E5vWnCfB4xucu87WNZ,TFTC: A Bitcoin Podcast,Marty Bent
https://i.scdn.co/image/ab67656300005f1fa5551a3da62876fab67115f5,https://open.spotify.com/show/6rLme2IkQHFxC0C78jU3D7,Cryptocurrency for Beginners: with Crypto Casey,Crypto Casey
https://i.scdn.co/image/ab67656300005f1f6520c5348efa8b688bc46b0e,https://open.spotify.com/show/6zAR0MN1kOaTUw7q1PfENb,The Truth About Ag,"Kristjan Hebert, Evan Shout"
https://i.scdn.co/image/ab67656300005f1f846f573ccc8ba74bad08f1af,https://open.spotify.com/show/1cJrrfGY1SKBIRn5noKSAf,Unchained,Laura Shin
https://i.scdn.co/image/ab67656300005f1f280a9916cd4c05ac3e3ec17c,https://open.spotify.com/show/4hoZOjyZOnY7y2io5lI18l,The 1000 Hours Outside Podcast,Ginny Yurich
https://i.scdn.co/image/ab67656300005f1fb1af36d817bbc7102d27abd4,https://open.spotify.com/show/7cBttfhO2Y0wLS3Mx2I198,Group Chat,"Chris ""Drama"" Pfaff, Dee Murthy & Anand Murthy"
https://i.scdn.co/image/ab67656300005f1f6dbadacb5daeb6119094371c,https://open.spotify.com/show/0L04op9D76TOfmzm7yOf9T,The Pitch,Josh Muccio
https://i.scdn.co/image/ab67656300005f1f79fbc83dff3315e5a12e325d,https://open.spotify.com/show/1tgqafxZAB0Bjd8nkwVtE4,Y Combinator Startup Podcast,Y Combinator
https://i.scdn.co/image/ab67656300005f1ff1c65ebf595eb962e6b642af,https://open.spotify.com/show/21X5WeU1eZTuyYmBbq613H,Your Kickstarter Sucks,Jesse Farrar & Mike Hale
https://i.scdn.co/image/ab67656300005f1f3b9279fd6dc37532ee559009,https://open.spotify.com/show/6ERwlvsgjVw5vutyuKwJQB,Silence On Roule,Martin Archambault
https://i.scdn.co/image/ab67656300005f1fbc5d6d2fb9a59bcd90652523,https://open.spotify.com/show/6q7Gn5lP8TTtBPuV1NJSGs,"""Econ 102"" with Noah Smith and Erik Torenberg",Turpentine
