image,link,title,podcaster
https://i.scdn.co/image/ab67656300005f1fe9d63b4c6896dc95d9e04105,https://open.spotify.com/show/0RVXkHoX3ZF4yMPz1k7Sh9,The Block Reward | Bitcoin For Beginners,Scott Dedels
https://i.scdn.co/image/ab67656300005f1fc000bf42d24a4065dbc230a7,https://open.spotify.com/show/3hghAdbjR0kTEeWuC0StA0,The Bitcoin Infinity Show,Knut Svanholm and Luke de Wolf
https://i.scdn.co/image/ab67656300005f1f2605c356ad9d3f2300b7cace,https://open.spotify.com/show/2sMNllVdj4tdAknydTlQDO,Bull Bitcoin Podcast,Bull Bitcoin Fr
https://i.scdn.co/image/ab67656300005f1fefacd81633a1b6cbca41e08f,https://open.spotify.com/show/59H9xYjFceiq6BVviVArrv,Bitcoin en español,Daniel Vargas
https://i.scdn.co/image/ab67656300005f1fc41a7abe5d01b1b3d5d87e29,https://open.spotify.com/show/68Pgb7d6eqIO5tw3dWY741,Blue Collar Bitcoin,Blue Collar Bitcoin Podcast
https://i.scdn.co/image/ab67656300005f1f38d8faaef0beb4cc39ea666c,https://open.spotify.com/show/7CTC3d4GS0Uv0nHMjqvnVI,Bitcoinovej kanál,Kicom
https://i.scdn.co/image/ab67656300005f1f013b0e2447ef3a4e28144f10,https://open.spotify.com/show/4R41uuVqSccv4VzlKVaOlk,The Bitcoin Matrix,Cedric Youngelman
https://i.scdn.co/image/ab67656300005f1f9ca5797da773ef6d2cd36e99,https://open.spotify.com/show/4wWzXFEyAJtM6aOLA6c4Q2,Once Bitten!   A Bitcoin Podcast.,Daniel Prince
https://i.scdn.co/image/ab67656300005f1f4bda0aa6991416db4dd95487,https://open.spotify.com/show/7LEw23eBTgtIlsXUhLnQRO,The Path to Bitcoin,Anon
https://i.scdn.co/image/ab67656300005f1ff9d40405e9dcba6bb392ba0c,https://open.spotify.com/show/6h6kOqJhy4N3FQTlnchIo0,Comprendre Bitcoin - Le Podcast,Bitstack
https://i.scdn.co/image/ab67656300005f1f6f65ddf7f6e65707dc0c9a63,https://open.spotify.com/show/6PcEV2hBalDLBeaLjEbwDf,Bitcoin Study Sessions,Bitcoin Study Sessions
https://i.scdn.co/image/ab67656300005f1fb73ae198616455d6886acb29,https://open.spotify.com/show/49uzTukshUkS7Mx083IIi9,Bitcoin Unleashed,Oliver L. Velez
https://i.scdn.co/image/ab67656300005f1f8eea9bd72ee319df08eab4e2,https://open.spotify.com/show/3PsZxkJYXFUu2yVKEu4pBT,Creating a Con: The Story of Bitconned,iHeartPodcasts and Glass Podcasts
https://i.scdn.co/image/ab67656300005f1fa19a8190b92e03a500f8b9b1,https://open.spotify.com/show/5Eqrgv480DJZYjwe7ju42s,Rock Paper Bitcoin,"₿usiness Cat, Fundamentals"
https://i.scdn.co/image/ab67656300005f1f89ce6e976c36b615d0247626,https://open.spotify.com/show/7vwwcwGyBpNZJnh6kAUbkP,The Why Bitcoin Show,Dale Warburton
https://i.scdn.co/image/ab67656300005f1fd5e58740889509db6be7bdbb,https://open.spotify.com/show/5UnB50h4O1jKaq5AyfN9Qo,Bitcoin Optech Podcast,Bitcoin Optech
https://i.scdn.co/image/ab67656300005f1f8096f642114c409c74390841,https://open.spotify.com/show/6hCz0T7q2x8vKIyEAZQgJ9,Giro Bitcoin,Paulo Aragao
https://i.scdn.co/image/ab67656300005f1fa5843e243d3b85f8a04be5cc,https://open.spotify.com/show/5ILRVoWRN2ZIIwypW80pcd,Bitcoin Takeover Podcast,Vlad Costea
https://i.scdn.co/image/ab67656300005f1f18f0fb6f839ae63da303fa48,https://open.spotify.com/show/02SVvJ3hWFvoQLx6VxotIG,Bitcoin Para Pobres,alberto
https://i.scdn.co/image/ab67656300005f1fd1fce8d255988de5bd4ee9bc,https://open.spotify.com/show/45u68uFYdTW5ixhlxAnnp9,"Koinsquare Live - Bitcoin, Crypto e Blockchain",Koinsquare - Bitcoin Italia
https://i.scdn.co/image/ab67656300005f1f7ddb621447b0bfa9aa528666,https://open.spotify.com/show/3a1AuX8Nbh0CFSDfxbsrJw,Energizing Bitcoin,Energizing Bitcoin
https://i.scdn.co/image/ab67656300005f1f6076cf40dcd435a204ea64f6,https://open.spotify.com/show/55K9yJJt0DgwoTEYe5GJb0,Area Bitcoin Podcast,Area Bitcoin Podcast
https://i.scdn.co/image/ab67656300005f1ff7f73fe22b263d67d7f46c46,https://open.spotify.com/show/10408JFbE1n8MexfrBv33r,"Einundzwanzig, der Bitcoin Podcast",Einundzwanzig
https://i.scdn.co/image/ab67656300005f1f9402bd583a0f4bbb6eadec1e,https://open.spotify.com/show/221AV5A65v7uYEsuMviVKl,Thinking Crypto News & Interviews,Tony Edward
https://i.scdn.co/image/ab67656300005f1f26c2e3e85327f5abe99ce577,https://open.spotify.com/show/6ZEi0BMBaSJDI64RY0IXKa,Bitcoin and the Bible,Bitcoin and the Bible
https://i.scdn.co/image/ab67656300005f1fd6b291f55b17de3e197763ce,https://open.spotify.com/show/0MbZQwHZoD0jexXT45o6ZF,The Bible and Bitcoin Podcast,Pastor Coin
https://i.scdn.co/image/ab67656300005f1febd0dea86e33704475bef58d,https://open.spotify.com/show/5CV3zM2g3oFKjcDlIdr63Z,Parlons Bitcoin,Emmanuel
https://i.scdn.co/image/ab67656300005f1fa6e65bf8bccd6eb36748daca,https://open.spotify.com/show/275qX5shteB8L4KgDVJ44X,Build With Bitcoin,"Lynne Bairstow, Israel Munoz"
https://i.scdn.co/image/ab67656300005f1fd6c82be5ee30895b7eb8c7e3,https://open.spotify.com/show/0QnvAOKX8ZUzdwMl89h3gU,The Wolf Of All Streets,Scott Melker
https://i.scdn.co/image/ab67656300005f1f691eadedf92a40024e76e74a,https://open.spotify.com/show/0i4SJwrYjxs3Bd5Yqx4Pbw,Bitcoin Rapid-Fire,John Vallis
https://i.scdn.co/image/ab67656300005f1f6259f58b64b85c774b26c617,https://open.spotify.com/show/18Z2m5V33DdVjcsVZk0Woq,The Progressive Bitcoiner,Bitcoin is for Everyone
https://i.scdn.co/image/ab67656300005f1f5908a69b747439854c58a81a,https://open.spotify.com/show/4e6gWLNjgzHMYSw7OtWK8V,The Bitcoin Edge,Paula Iversen
https://i.scdn.co/image/ab67656300005f1f25c4ac39133952a7af847bb8,https://open.spotify.com/show/3JNOXHgrDUO4f2FVhEvl84,Daily Bitcoin Journey,88 SATS Radio
https://i.scdn.co/image/ab67656300005f1f7356461cc1695e06c508d83f,https://open.spotify.com/show/6mxp05VDnbj4jTFtPC42T2,bitcoinheiros,Bitcoinheiros do Brasil
https://i.scdn.co/image/ab67656300005f1f67572af3b2bcbdf59bbf01fd,https://open.spotify.com/show/3wK8qCZntXS6UztfvjkYCu,This Week in Bitcoin,Chris Fisher
https://i.scdn.co/image/ab67656300005f1fa50f2248d812621317fbd161,https://open.spotify.com/show/6xSPt4bCdZCCgZLE78bngM,Thank God for Bitcoin,TGFB Media Podcast Network
https://i.scdn.co/image/ab67656300005f1f946e86fcc7e8e8e3c3607843,https://open.spotify.com/show/74LKPjgrrglEpmTNr7v8vK,Bitcoin & Markets,Ansel Lindner
https://i.scdn.co/image/ab67656300005f1f6245f5a3bdcd1d24e6aeac70,https://open.spotify.com/show/3jM0POHuNEjmC15dkyNFVn,Bitcoiners - Live From Bitcoin Beach,Mike Peterson
https://i.scdn.co/image/ab67656300005f1f8ecbde16bc9a9025e18098ee,https://open.spotify.com/show/2PUWWMOzhs42aFR4nyOfBI,Bitcoinsnakk,Bitcoinsnakk
https://i.scdn.co/image/ab67656300005f1fe0acd47fb2c691cb5b386b13,https://open.spotify.com/show/5L8A1nE48hEHpbxjP0offk,BITCOIN BEN,BITCOIN BEN
https://i.scdn.co/image/ab67656300005f1f533cc727c175071da7ed41b0,https://open.spotify.com/show/7CGboRclb7QaNOhLGgpuMg,The Gwart Show | Bitcoin Tech & Culture,Blockspace Media
https://i.scdn.co/image/ab67656300005f1f77c8bb5f0a8e555dd6f18700,https://open.spotify.com/show/6OKUqriPQNyEOOsMk6bdAM,The Bitcoin Treasuries Podcast with Tim Kotzman,Timothy Kotzman
https://i.scdn.co/image/ab67656300005f1f59a544c9403b2ee8cf995e81,https://open.spotify.com/show/5pBuPJdMabzdDaZEyUZopi,"Epicenter - Learn about Crypto, Blockchain, Ethereum, Bitcoin and Distributed Technologies",Epicenter Media Ltd.
https://i.scdn.co/image/ab67656300005f1f0f0e175d34fcbc8c8e76d6e2,https://open.spotify.com/show/2u3oXWilTSFmZ034vQeUGq,Speaking of Bitcoin (formerly Let's Talk Bitcoin!),Adam B. Levine
https://i.scdn.co/image/ab67656300005f1fbe611b644891c29be8c7880c,https://open.spotify.com/show/103OJru2ZXwAOIGfvH64ao,Bitcoin Not Crypto,Forrest Stevens
https://i.scdn.co/image/ab67656300005f1fd906856efcb220ab7c90ddcb,https://open.spotify.com/show/3nbvc7MUvoaMKhxb1EimK1,Bitcoin Basics Help,BitcoinBasics.Help
