title,link,podcaster
The Kinda Funny Podcast,https://podcasts.apple.com/ca/podcast/the-kinda-funny-podcast/id937940719,Kinda Funny
Minecraft Short Stories,https://podcasts.apple.com/ca/podcast/minecraft-short-stories/id1570004719,Callum Ellis
Steak & Eggs Podcast,https://podcasts.apple.com/ca/podcast/steak-%26-eggs-podcast/id1672630146,OTKnetwork
High Rollers DnD,https://podcasts.apple.com/ca/podcast/high-rollers-dnd/id1401508198,Pickaxe
EDHRECast,https://podcasts.apple.com/ca/podcast/edhrecast/id1372974401,EDHRECast
Magic: The Gathering Drive to Work Podcast,https://podcasts.apple.com/ca/podcast/magic%3A-the-gathering-drive-to-work-podcast/id580709168,Mark Rosewater
Axe of the Blood God: An RPG Podcast,https://podcasts.apple.com/ca/podcast/axe-of-the-blood-god%3A-an-rpg-podcast/id969659784,Axe of the Blood God
Official PlayStation Podcast,https://podcasts.apple.com/ca/podcast/official-playstation-podcast/id483223024,PlayStation
Forever Exiled - A Path of Exile Podcast,https://podcasts.apple.com/ca/podcast/forever-exiled---a-path-of-exile-podcast/id1491304380,"Tagz, Wrecker of Days"
MTGGoldfish Podcast,https://podcasts.apple.com/ca/podcast/mtggoldfish-podcast/id956638541,MTGGoldfish
Nickelodeon Songs & Games,https://podcasts.apple.com/ca/podcast/nickelodeon-songs-%26-games/id1744984177,Nickelodeon
My Perfect Console with Simon Parkin,https://podcasts.apple.com/ca/podcast/my-perfect-console-with-simon-parkin/id1665581266,Simon Parkin
OpTic Podcast,https://podcasts.apple.com/ca/podcast/optic-podcast/id1542810047,OpTic
The Poorhammer Podcast,https://podcasts.apple.com/ca/podcast/the-poorhammer-podcast/id1586988360,Solely Singleton
Pèse sur start,https://podcasts.apple.com/ca/podcast/p%C3%A8se-sur-start/id1438068826,QUB radio
Entre Deux Parties,https://podcasts.apple.com/ca/podcast/entre-deux-parties/id1737682461,Fred Gémus
Nerd Poker,https://podcasts.apple.com/ca/podcast/nerd-poker/id582573564,Nerd Poker
The Kit & Krysta Podcast,https://podcasts.apple.com/ca/podcast/the-kit-%26-krysta-podcast/id1609805414,The Kit & Krysta Podcast
History of Westeros (Game of Thrones),https://podcasts.apple.com/ca/podcast/history-of-westeros-(game-of-thrones)/id1074070278,History of Westeros
"In Review: Movies Ranked, Reviewed, & Recapped – A Kinda Funny Film & TV Podcast",https://podcasts.apple.com/ca/podcast/in-review%3A-movies-ranked%2C-reviewed%2C-%26-recapped-%E2%80%93-a-kinda-funny-film-%26-tv-podcast/id1579548228,Kinda Funny
Le Podcast des pas AAA,https://podcasts.apple.com/ca/podcast/le-podcast-des-pas-aaa/id1779604132,Daniel Vaillancourt et Voro
The Flank,https://podcasts.apple.com/ca/podcast/the-flank/id1562433071,The Flank Podcast
